index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price
28,honda,sedan,0.24923076923076906,0.5119402985074628,ohc,four,0.22083333333333333,0.3235294117647059,0.2851321585903084
29,honda,sedan,0.24923076923076906,0.417910447761194,ohc,four,0.21666666666666667,0.35294117647058826,0.22786343612334803
30,isuzu,sedan,0.1815384615384613,0.4417910447761193,ohc,four,0.125,0.3235294117647059,0.14944933920704845
31,isuzu,sedan,0.18769230769230752,0.22089552238805987,ohc,four,0.09166666666666666,0.7352941176470589,0.0
32,isuzu,sedan,0.18769230769230752,0.22089552238805987,ohc,four,0.09166666666666666,0.7352941176470589,0.0
33,jaguar,sedan,0.7569230769230767,0.8731343283582089,dohc,six,0.5333333333333333,0.058823529411764705,0.710352422907489
34,jaguar,sedan,0.7569230769230767,0.8731343283582089,dohc,six,0.5333333333333333,0.058823529411764705,0.7830396475770925
35,jaguar,sedan,0.4184615384615383,0.7552238805970148,ohcv,twelve,0.8916666666666667,0.0,0.7929515418502202
36,mazda,hatchback,0.14461538461538426,0.26865671641791045,ohc,four,0.08333333333333333,0.5,0.1144273127753304
37,mazda,hatchback,0.14461538461538426,0.26865671641791045,ohc,four,0.08333333333333333,0.5294117647058824,0.1342511013215859
38,mazda,hatchback,0.14461538461538426,0.26865671641791045,ohc,four,0.08333333333333333,0.5294117647058824,0.14966960352422906
39,mazda,hatchback,0.21230769230769206,0.4164179104477613,rotor,two,0.22083333333333333,0.11764705882352941,0.2609030837004405
43,mazda,sedan,0.5076923076923077,0.5059701492537314,ohc,four,0.1,0.5294117647058824,0.40405286343612334
44,mercedes-benz,sedan,0.6646153846153844,0.7432835820895524,ohc,five,0.3125,0.2647058823529412,0.5628193832599119
45,mercedes-benz,wagon,0.6646153846153844,0.7432835820895524,ohc,five,0.3125,0.2647058823529412,0.6222026431718062
46,mercedes-benz,sedan,1.0,1.0,ohcv,eight,0.5666666666666667,0.029411764705882353,0.9022026431718062
47,mercedes-benz,hardtop,0.7261538461538459,0.8671641791044775,ohcv,eight,0.5666666666666667,0.029411764705882353,1.0
49,mitsubishi,hatchback,0.16307692307692298,0.24179104477611965,ohc,four,0.08333333333333333,0.7058823529411765,0.11870044052863436
50,mitsubishi,hatchback,0.16307692307692298,0.24179104477611965,ohc,four,0.08333333333333333,0.5294117647058824,0.13632158590308371
51,mitsubishi,sedan,0.2430769230769228,0.4671641791044778,ohc,four,0.16666666666666666,0.35294117647058826,0.15394273127753305
52,mitsubishi,sedan,0.2430769230769228,0.4671641791044778,ohc,four,0.16666666666666666,0.35294117647058826,0.18037444933920704
53,nissan,sedan,0.18769230769230752,0.3611940298507465,ohc,four,0.029166666666666667,0.9411764705882353,0.15636563876651982
54,nissan,sedan,0.18769230769230752,0.3611940298507465,ohc,four,0.0875,0.5294117647058824,0.14645374449339207
55,nissan,sedan,0.18769230769230752,0.3611940298507465,ohc,four,0.0875,0.5294117647058824,0.15085903083700442
56,nissan,wagon,0.18769230769230752,0.43432835820895516,ohc,four,0.0875,0.5294117647058824,0.16187224669603525
57,nissan,sedan,0.36923076923076925,0.6492537313432836,ohcv,six,0.43333333333333335,0.17647058823529413,0.2973348017621145
61,porsche,hardtop,0.03384615384615367,0.41492537313432853,ohcf,six,0.6625,0.11764705882352941,0.7495154185022026
62,porsche,convertible,0.03384615384615367,0.41492537313432853,ohcf,six,0.6625,0.11764705882352941,0.8155947136563877
63,porsche,hatchback,0.3076923076923077,0.5164179104477611,dohcv,eight,1.0,0.11764705882352941,0.0
66,toyota,hatchback,0.22461538461538452,0.26268656716417904,ohc,four,0.058333333333333334,0.6470588235294118,0.11779735682819384
67,toyota,hatchback,0.22461538461538452,0.26268656716417904,ohc,four,0.058333333333333334,0.5294117647058824,0.13960352422907488
68,toyota,hatchback,0.22461538461538452,0.26268656716417904,ohc,four,0.058333333333333334,0.5294117647058824,0.14290748898678415
69,toyota,wagon,0.22461538461538452,0.42686567164179096,ohc,four,0.058333333333333334,0.5294117647058824,0.15237885462555065
70,toyota,wagon,0.22461538461538452,0.42686567164179096,ohc,four,0.058333333333333334,0.4117647058823529,0.1739647577092511
71,toyota,wagon,0.22461538461538452,0.42686567164179096,ohc,four,0.058333333333333334,0.4117647058823529,0.19334801762114537
79,toyota,wagon,0.4953846153846152,0.6970149253731346,dohc,six,0.45,0.17647058823529413,0.34691629955947134
80,volkswagen,sedan,0.2738461538461536,0.4567164179104477,ohc,four,0.016666666666666666,0.7058823529411765,0.17125550660792951
81,volkswagen,sedan,0.2738461538461536,0.4567164179104477,ohc,four,0.15416666666666667,0.4117647058823529,0.17566079295154186
82,volkswagen,sedan,0.2738461538461536,0.4567164179104477,ohc,four,0.016666666666666666,0.7058823529411765,0.17610132158590308
86,volkswagen,sedan,0.2738461538461536,0.4567164179104477,ohc,four,0.21666666666666667,0.38235294117647056,0.22015418502202644
87,volvo,sedan,0.48923076923076897,0.711940298507463,ohc,four,0.275,0.29411764705882354,0.28502202643171803
88,volvo,wagon,0.48923076923076897,0.711940298507463,ohc,four,0.275,0.29411764705882354,0.2954845814977974
